Trait Name,Type,Category,Prerequisite(s),PFS Legal,Description,Source,Version
Theoretical Magician ,Basic,,,,"You’ve studied more magic than what you can actually perform. You gain a +2 trait bonus on Spellcraft checks, or a +3 bonus if you aren't a spellcaster.",PCo:CEoD,PFRPG
Threatening Defender ,Basic,,,,"You know how to avoid a blow while still maintaining your offensive posture. When you use Combat Expertise, reduce the number you subtract from your melee attack rolls by 1.",PCo:CEoD,PFRPG
Thrown-Together Fashion,Equipment,,,,"You can modify old clothing to make it effective in new circumstances. With a basic sewing kit or disguise kit, you can make a Disguise check to change one outfit into another outfit (see page 159 of the Pathfinder RPG Core Rulebook, or page 13 of this book). The DC of this check is equal to 10 + the gp difference between costs of the outfits. The alteration takes 10 minutes per 1-gp difference in the cost of the outfits.",Adventurer's Armory,PFRPG
Toilcrafter,Religion,,Dwarf race (Droskar),,"You can craft passable if inferior magical weapons, armors, and shields through diligence and toil. Choose one Craft or Profession skill in which you have at least 1 rank. Ranks in your chosen skill count as your caster level for the purpose of qualifying for the Craft Magic Arms and Armor feat. You may craft +1 armor, weapons, or shields (with no special qualities), substituting your rank in the chosen skill for your caster level. You must use the chosen skill for the check to create the item. Crafting in this fashion takes twice as long as normal. These items cannot be upgraded with new abilities.",PCo:DoG,PFRPG
Tomb Raider,Faction,,,,"You’ve spent most of your life exploring the ancient tombs and catacombs of Osirion. You gain a +1 bonus on Perception and Knowledge (dungeoneering) checks, and one of these skills (your choice) becomes a class skill for you",PCo:GtPSOP,
Treerazer’s Bane ,Regional,,From Kyonin,,"Having fought in many battles against Treerazer and his minions, you have learned the best ways to kill the various creatures under his control. You gain a +2 trait bonus on weapon damage against demons, evil fey, and plants and animals corrupted by evil.",PCo:EoG,3.5e
Trickster,Race,,,Yes,,PCo:GoG,
Trouper,Faction,,,,"You  cling  to  the  Varisian  traveling performer  traditions  and  can  recognize  the  magic hidden  in  song  and  dance.  You  gain  a  +1  trait  bonus on checks using a Perform skill of your choice and a +1 trait bonus on saving throws against abilities that rely upon the Perform skill to function, such as the bardic performance class ability.",PCo:GtPSOP,
Tunnel Fighter,Race,,Dwarf race,,"Caves and tunnels are a second home to you. While underground, you receive a +2 trait bonus to initiative checks and a +1 trait bonus on weapon damage rolls for critical hits (this damage is multiplied on a critical hit).",PCo:DoG,PFRPG
Under Siege ,Religion,,Follower of Sarenrae,,"In order to maintain your devotion to Sarenrae in Taldor and stay alive, you and your fellow worshipers developed a complex system of hand signs and facial gestures to identify yourselves as faithful in the Cult of the Dawnflower. You gain a +1 trait bonus on Bluff and Sense Motive checks. One of these skills (your choice) is always a class skill for you.",PCo:TEoG,3.5e
Unhappy Childhood (Religious),Campaign,,,,Gaedren tortured you and left you for dead on a garbage heap after you made one too many errors. Your scars and memories have honed your reaction speed and make you rather jumpy. You gain a +1 bonus on Reflex saves.,PAP:CotCTPG,
Unhappy Childhood (Tortured),Campaign,,,,"You found a holy symbol of the god you worship today while on a job for Gaedren and, intrigued by it, you snuck off to attend services. When Gaedren found out, he beat you to within an inch of your life and broke your holy symbol. Your faith let you block out the pain, and you escaped his control and took shelter in the church, where you spent the rest of your youth. You gain a +2 bonus on Concentration checks.",PAP:CotCTPG,
Unorthodox Strategy,Faction,,,,"You  are  particularly quick on your feet, and gain a +2 trait bonus on Acrobatics checks made to move through an enemy’s threatened squares",PCo:GtPSOP,
Uwaga Highlander,Regional,,From Katapesh,,"You were born and raised in western Katapesh, in the rugged badlands and hills of the Uwaga Highlands. Even if you were born in a city like Solku, you often had to travel the dangerous trails with your family. Predators, gnolls, and worse haunt the Uwaga Highlands, and you’ve become something of an expert at evading them. You gain a +1 trait bonus on Stealth checks. This trait bonus increases to +2 in hilly or rocky areas.",PCo:LoFPG,3.5e
Vagabond Child ,Regional,,From Taldor,,"You grew up among the outcasts and outlaws of your society, learning to forage and survive in an urban environment. Select one of the following skills: Disable Device or Sleight of Hand. You gain a +1 trait bonus on that skill, and it is always a class skill for you.",PCo:TEoG,3.5e
Venicaan Medic,Regional,,From Qadira,,"You have studied at the College of Medicaments and Chirurgery, and know by sight the signs of ailments and toxins you might encounter. You gain a +2 trait bonus to Heal checks to treat diseases or poisons, and Heal is always a class skill for you.",PCo:QttE,3.5e
Vindictive,Faction,,,,Your family is prone to endless feuds and you are a people who simply do not forgive a slight easily. You receive a +1 trait bonus on damage rolls against a single adjacent opponent who damaged you in the previous round of combat.,PCo:GtPSOP,
Walking Ward,Regional,,From Qadira,,"Your training included constant exposure to elemental forces. Choose one of the following energy types: acid, cold, electricity, or fire; you gain a +1 bonus on saving throws against spells that deal damage of this type or have this subtype.",PCo:QttE,3.5e
Warrior of Old ,Race,,Elf,,"As a child, you put in long hours in combat drills, and though time has made this training a dim memory, you still have a knack for quickly responding to trouble. You gain a +2 trait bonus on Initiative checks.",PCo:EoG,3.5e
Warrior Poet,Regional,,Dwarf race (from Lands of the Linnorm Kings),,"You were trained by the skalds, keepers of the oral tradition of Kalsgard. You gain a +1 trait bonus on Knowledge checks related to dwarves (dwarven history, dwarven construction, and so on) and a +1 trait bonus on Fortitude saves in any round in which you use a bardic performance ability.",PCo:DoG,PFRPG
Warsmith,Race,,Dwarf race,,"You have an intuitive grasp of the weak points of metal and stone. You gain a +1 trait bonus to damage rolls against creatures and objects made primarily of clay, crystal, earth, metal, or stone. Knowledge (engineering) is a class skill for you.",PCo:DoG,PFRPG
Wasp Whisperer ,Religion,,Follower of Calistria,,Your association with Calistria’s church has toughened your flesh against venom and blessed you with the ability to influence wasps and similar insectile vermin. You gain a +1 trait bonus on Fortitude saving throws against poison. You may make Diplomacy checks (or wild empathy checks if you are a druid or ranger) to improve a Hostile or Unfriendly insectile vermin’s attitude toward Indifferent.,PCo:EoG,3.5e
Watchdog,Faction,,,,"As a member of the Shadow Lodge, you are trained to detect lies and doublespeak. You gain a +1 trait bonus on Sense Motive skill checks, and Sense Motive becomes a class skill for you.",PCo:GtPSOP,
Watching Taldor,Regional,,From Qadira,,"You have spent all of your adult life with eyes turned northward, waiting for the Taldan weaklings to give you an excuse to fight, ready to act at a moment’s notice. You gain a +1 trait bonus to Initiative checks, and if you are able to act during the surprise round of an encounter, you can draw a weapon (but not a potion or magic item) as a free action during that round.",PCo:QttE,3.5e
Wealthy Dabbler ,Regional,,From Taldor,,"You study magic at a social club, wowing your friends with your recent discoveries and showing off your expertise in the simplest of magical exploits. Select two non-harmful arcane cantrips. You can cast these two cantrips once per day each (caster level 1st). If you have levels in a class that can cast these cantrips, your caster level for these cantrips is equal to that class level.",PCo:TEoG,3.5e
Weapon Style,Faction,,,,"You  gain  proficiency  in  one  weapon normally used by monks, such as kama, nunchaku, sai, or shuriken.",PCo:GtPSOP,
Well-Informed ,Race,,Halfling race (from Taldor),,"You make it a point to know everyone and to be connected to everything around you. You frequent the best taverns, attend all of the right events, and graciously help anyone who needs it. Because of this, you are one of the more knowledgeable people in your home town. You gain a +1 trait bonus to Diplomacy checks and Knowledge (local) checks (when attempting to gather Information). One of these skills (your choice) is always a class skill for you.",PCo:TEoG,3.5e
Westcrown Firebrand ,Campaign,,,,"There’s something very wrong with the world. Spouses were not meant to huddle at their windows hoping and fearing day after day that their loved ones returned from work safely. Parents were not meant to hush their children when questioned about what happened to their neighbors. Citizens were not meant to avert their eyes and hurry by as guardsmen beat old friends in the street. The people of Westcrown have suffered long enough! It’s time for a change. But how? You’ve heard rumors of bands of free-thinking individuals meeting after the citywide curfew. Perhaps they might share your ideals? You are quick to react to opportunity, both physically and mentally, and know that it is with sudden and swift action that many conflicts are best resolved. You gain a +1 trait bonus on Initiative checks, and if you act in a surprise round, you gain a +1 trait bonus on all attack rolls.",PAP:CoTPG,PFRPG
Wharf Rat,Regional,,Ostenso,,"You may never have been on a boat larger than a garbage scow, but youâ€™ve been helping them dock all your life. You gain a +2 trait bonus on skill checks involving climbing and rope use, and a +4 trait bonus on Appraise checks to determine the value of large quantities of bulk goods without opening their containers.",PCo:CEoD,PFRPG
Whisper Woods Hunter,Regional,,From Whisper Woods,,Your family prepared you for a life of evading or destroying fiendish creatures. You gain a +2 trait bonus on Survival checks to track evil outsiders and a +2 trait bonus on initiative checks when you know your opponent is an evil outsider.,PCo:CEoD,PFRPG
Wisdom in the Flesh,Religion,,Follower of Irori,,"Your meditation on the nature of strength and speed allows you to focus your thoughts to achieve things your body might not be able to do on its own. Select any Strength, Constitution, or Dexterity-based skill. You make checks with that skill using your Wisdom modifier instead of its normal ability score. That skill is always a class skill for you.",PCo:LoFPG,3.5e
Without a Past,,Social,,,"You earn +1 trait bonus to Bluff and Linguistics when used to forge documents, and choose one as a class skill. ",Wayfinder,PFRPG
World Traveler,Race,,Human race (from Varisia),,"Your family has taken the love of travel to an extreme, roaming the world extensively. You’ve seen dozens of cultures and have learned to appreciate the diversity of what the world has to offer. Select one of the following skills: Diplomacy, Knowledge (local), or Sense Motive. You gain a +1 trait bonus to that skill, and it is always a class skill for you.",PCo:LoFPG,3.5e
Youthful Mischief ,Race,,Elf,,"Though you gave up the life of a padfoot, scout, or minstrel decades before, you still know how to roll with the punches when things turn sour. You gain a +1 trait bonus on Reflex saves.",PCo:EoG,3.5e
Zealot,Race,Gnome,You must match the alignment of your chosen deity exactly.,Yes,"You aren’t just faithful to the worship of your patron deity—you are obsessively loyal to all of the faith’s tenets and guidelines. Your devotion is an anchor that keeps you from drifting away into the throes of the Bleaching, and you cling to it like the life raft it is. You gain a +1 trait bonus on Knowledge (religion) checks, and that skill is a class skill for you. As long as you remain completely faithful to the tenets of your faith (as determined by the GM), you never suffer from the Bleaching.",PCo:GoG,
Zest for Battle,Race,,Dwarf race,,"Your greatest joy is being in the thick of battle, and smiting your enemies for a righteous or even dastardly cause. Whenever you have a morale bonus to weapon attack rolls, you also receive a +1 trait bonus on weapon damage rolls.",PCo:DoG,PFRPG
